Complaint,Complaint_Clean,Category,Urgency,Complaint_Clean_Banglish
Subscription auto-renewed after cancellation,Subscription auto-renewed after cancellation,Subscriptions,Immediate,Cancellation korar poro subscription auto-renew hoye gese.
Free trial converted to paid without warning,Free trial converted to paid without warning,Subscriptions,High,Kono warning chara e free trial theke paid hoye gese.
Can't find cancellation option in account,Can't find cancellation option in account,Subscriptions,Medium,Account er moddhe cancellation option khuje pacchi na.
Charged annual rate when monthly was selected,Charged annual rate when monthly was selected,Subscriptions,Immediate,Monthly select korar poro annual rate charge korse.
Renewal price increased without notification,Renewal price increased without notification,Subscriptions,High,Notification chara renewal price barie dise.
Subscription renewed 3 days before expiration,Subscription renewed 3 days before expiration,Subscriptions,Medium,Expiration er 3 din agei subscription renew hoye gese.
Canceled but still have access to service,Canceled but still have access to service,Subscriptions,High,Cancel korar poro o service e access pacchi.
Account shows 'active' after cancellation,Account shows 'active' after cancellation,Subscriptions,Immediate,Cancellation korar poro o account 'active' dekhacche.
Charged during cooling-off period,Charged during cooling-off period,Subscriptions,High,Cooling-off period er moddhe charge korse.
Auto-renewal toggle resets itself,Auto-renewal toggle resets itself,Subscriptions,Medium,Auto-renewal toggle nije nije reset hoye jacche.
Subscription renewed while paused,Subscription renewed while paused,Subscriptions,High,Pause kora thaka obosthay subscription renew hoye gese.
Payment failed but service wasn't suspended,Payment failed but service wasn't suspended,Subscriptions,Medium,Payment fail korse kintu service suspend hoyni.
Charged for premium tier after downgrade,Charged for premium tier after downgrade,Subscriptions,Immediate,Downgrade korar poro o premium tier er jonno charge korse.
Cancelation requires phone call only,Cancelation requires phone call only,Subscriptions,High,Cancel korte hole oboshshoi phone call korte hobe.
Auto-renewal terms changed without notice,Auto-renewal terms changed without notice,Subscriptions,Medium,Notice chara auto-renewal terms change korese.
Subscription renewed after refund request,Subscription renewed after refund request,Subscriptions,High,Refund request korar poro subscription renew hoye gese.
Free trial required credit card upfront,Free trial required credit card upfront,Subscriptions,Immediate,Free trial er jonno age thekei credit card lagse.
Charged before free trial ended,Charged before free trial ended,Subscriptions,High,Free trial shesh howar agei charge korse.
Cancelation page gives 404 error,Cancelation page gives 404 error,Subscriptions,Medium,Cancellation page theke 404 error dicche.
Renewal receipt sent to wrong email,Renewal receipt sent to wrong email,Subscriptions,High,Renewal receipt bhul email e chole gese.
Subscription renewed with expired card,Subscription renewed with expired card,Subscriptions,Immediate,Expired card diye subscription renew hoye gese.
Account says 'canceled' but still charged,Account says 'canceled' but still charged,Subscriptions,High,Account e 'canceled' dekhacche kintu abar charge korse.
Auto-renewal date changes automatically,Auto-renewal date changes automatically,Subscriptions,Medium,Auto-renewal date nije nije change hoye jacche.
Charged annual when canceling monthly,Charged annual when canceling monthly,Subscriptions,High,Monthly cancel korar shomoy annual charge korese.
Trial period shortened without notice,Trial period shortened without notice,Subscriptions,Immediate,Notice chara trial period choto kore dise.
Subscription restarted after 6 months,Subscription restarted after 6 months,Subscriptions,High,6 mash por subscription abar start hoye gese.
Cancelation requires submitting ID,Cancelation requires submitting ID,Subscriptions,Medium,Cancellation korar jonno ID submit korte hocche.
Auto-renewal turned back on after update,Auto-renewal turned back on after update,Subscriptions,High,Update korar por auto-renewal abar on hoye gese.
Charged during grace period,Charged during grace period,Subscriptions,Immediate,Grace period er moddhe charge korse.
Free trial counted as first payment,Free trial counted as first payment,Subscriptions,High,Free trial ke first payment hishebe dhorese.
Subscription renewed after chargeback,Subscription renewed after chargeback,Subscriptions,Medium,Chargeback korar poro subscription renew hoye gese.
Cancelation button hidden in settings,Cancelation button hidden in settings,Subscriptions,High,Settings er moddhe cancellation button lukiye rakha.
Auto-renewal receipt has no opt-out,Auto-renewal receipt has no opt-out,Subscriptions,Immediate,Auto-renewal receipt e opt-out korar kono option nai.
Charged full price after discount period,Charged full price after discount period,Subscriptions,High,Discount period shesh howar por full price charge korse.
Trial auto-converted without reminder,Trial auto-converted without reminder,Subscriptions,Medium,Reminder chara trial auto-convert hoye gese.
Subscription renewed after death of user,Subscription renewed after death of user,Subscriptions,High,User mara jawar poro subscription renew hoye gese.
Cancelation requires mailed letter,Cancelation requires mailed letter,Subscriptions,Immediate,Cancellation korar jonno chithir madhyome pathate hobe.
Auto-renewal uses different payment method,Auto-renewal uses different payment method,Subscriptions,High,Auto-renewal onnno payment method use korse.
Charged during account suspension,Charged during account suspension,Subscriptions,Medium,Account suspension thaka obosthay charge korse.
Free trial required social media post,Free trial required social media post,Subscriptions,High,Free trial er jonno social media post korte bolse.
Subscription renewed after 3 cancellations,Subscription renewed after 3 cancellations,Subscriptions,Immediate,3 bar cancel korar poro o subscription renew hoye gese.
Account shows inactive but still billing,Account shows inactive but still billing,Subscriptions,High,Account inactive dekhacche kintu tobuo bill katse.
Auto-renewal charges higher than agreed,Auto-renewal charges higher than agreed,Subscriptions,Medium,Jeta thik hoisilo tar theke beshi auto-renewal charge korse.
Charged before service activation,Charged before service activation,Subscriptions,High,Service activate howar agei charge korse.
Cancelation requires in-person visit,Cancelation requires in-person visit,Subscriptions,Immediate,Cancellation korar jonno shorishori giye dekha korte hobe.
Renewal notification sent after charge,Renewal notification sent after charge,Subscriptions,High,Charge korar por renewal notification pathase.
Subscription restarted after 1 year,Subscription restarted after 1 year,Subscriptions,Medium,1 bochor por subscription abar start hoye gese.
Auto-renewal terms in hidden FAQ,Auto-renewal terms in hidden FAQ,Subscriptions,High,Auto-renewal terms hidden FAQ te ache
Charged for add-on never selected,Charged for add-on never selected,Subscriptions,Immediate,Add-on er jonno charge kora hoyeche ja konodin select korini
